,ev_city,ev_country,ev_state,latitude,longitude
50214,BYRON          ,USA,CA,,
50250,FISHERSVILLE   ,USA,VA,,
50256,SNAEFELLSNES,IC,,,
50270,ATLANTA        ,USA,GA,,
50279,Ottawa,CA,,,
50280,MAIN PASS 225A ,,GM,,
50301,"Khaoyai National Park, Thailand",TH,,,
50302,GRAND ISLAND   ,USA,NE,,
50312,BIRMINGHAM     ,USA,AL,,
50318,UNALAKLEET     ,USA,AK,,
50322,QUINHAGAK      ,USA,AK,,
50344,CHALLIS        ,USA,ID,,
50350,WEST PALM BEACH,USA,FL,,
50357,PAVAS          ,CS,,,
50361,HOUMA          ,USA,LA,,
50362,DEWITT         ,USA,NE,,
50368,GUATEMALA CITY ,GT,,,
50387,FRESNO         ,USA,CA,,
50393,INDIANAPOLIS   ,USA,IN,,
50407,Port Hueneme,USA,CA,,
50463,Dittingen,SZ,,,
50494,SIOUX FALLS    ,USA,SD,,
50511,ONTARIO        ,USA,CA,,
50531,KAPLAN         ,USA,LA,,
50537,LATROBE        ,USA,PA,,
50547,Manokwari,ID,,,
50548,Brisbane,AS,,,
50562,GRAND RAPIDS   ,USA,MI,,
50575,BAYFIELD       ,USA,CO,,
50583,KINSTON        ,USA,NC,,
50590,MONROE         ,USA,MI,,
50592,MONTAGUE ISLAND,USA,AK,,
50603,FORT COLLINS   ,USA,CO,,
50630,Edenkoben,GE,,,
50644,MANOKOTAK      ,USA,AK,,
50684,BETHEL         ,USA,AK,,
50699,DEL RIO        ,USA,TX,,
50730,ATLANTIC OCEAN ,,AO,,
50762,BETHEL         ,USA,AK,,
50792,ORLANDO        ,USA,FL,,
50793,ST. LOUIS      ,USA,MO,,
50841,Rome,IT,,,
50857,GALVESTON      ,USA,TX,,
50864,SPARREVOHN     ,USA,AK,,
50867,Surabaya,ID,,,
50872,AGUA CALIENTE,USA,AZ,,
50875,HAILEY         ,USA,ID,,
50876,Gratwich,UK,,,
50910,DILLINGHAM     ,USA,AK,,
50957,TEHACHAPI      ,USA,CA,,
51002,MOOSONEE,CA,ON,,
51010,CLARKSVILLE    ,USA,TN,,
51014,STANLEY        ,USA,ID,,
51021,ASPEN          ,USA,CO,,
51026,Birmingham,UK,,,
51030,ISLAND BEACH   ,USA,NJ,,
51033,MABIE          ,USA,WV,,
51055,BARSTOW        ,USA,CA,,
51077,RICHMOND       ,USA,VA,,
51082,ROQUE          ,PE,,,
51117,BARABOO        ,USA,WI,,
51135,Macas,EC,,,
51160,Morro do Manduba Guaruja,BR,,,
51196,"Noumea, New Caledonia",NC,,,
51200,SAN SALVADOR,ES,,,
51215,BOSTON         ,USA,MA,,
51235,LOUISVILLE     ,USA,KY,,
51270,BRENON         ,PM,,,
51300,WAUSEON        ,USA,OH,,
51303,TUSAYAN        ,USA,AZ,,
51304,PHILADELPHIA   ,USA,PA,,
51307,SKAGWAY        ,USA,AK,,
51316,Cameron,USA,LA,,
51317,MEKORYUK       ,USA,AK,,
51404,CHICKALOON     ,USA,AK,,
51453,GRANITE        ,USA,CO,,
51487,DILLINGHAM     ,USA,AK,,
51505,FORT MYERS     ,USA,FL,,
51508,Loch Etive,UK,,,
51517,MCKNLEY PARK   ,USA,AK,,
51539,San Francisco,HO,,,
51548,Minas Parapapoy,VE,,,
51647,RENO           ,USA,NV,,
51649,TYONEK         ,USA,AK,,
51660,TERRELL        ,USA,TX,,
51742,VALLEJO        ,USA,CA,,
51756,WAIALAE FALLS  ,USA,HI,,
51762,Denver,USA,CO,,
51769,SALT LAKE CITY ,USA,UT,,
51828,LOS ANGELES    ,USA,CA,,
51831,SALZBURG       ,AU,,,
51873,Baden,GE,,,
51884,NOORVIK        ,USA,AK,,
51903,BRAZOS 542     ,,GM,,
51928,DILLINGHAM     ,USA,AK,,
51965,ATLANTA        ,USA,GA,,
51982,VILLAVICENCIO  ,CO,,,
51986,WAIROA GORGE,NZ,,,
51987,PONTIAC        ,USA,MI,,
52024,DURANGO        ,USA,CO,,
52027,Batam,ID,,,
52033,MONTROSE       ,USA,CO,,
52038,GUADALUPE      ,DO,,,
52042,BRIDGETON      ,USA,MO,,
52054,STATEN ISLAND  ,USA,NY,,
52126,Benalla,AS,,,
52131,HAVANA         ,CU,,,
52150,QUINHAGAK      ,USA,AK,,
52157,HOLY CROSS     ,USA,AK,,
52207,ALBUQUERQUE    ,USA,NM,,
52208,CHORLEY    ,UK,,,
52212,ISLIP          ,USA,NY,,
52217,London,UK,,,
52241,COEUR D'ALENE  ,USA,ID,,
52242,FAIRFIELD      ,USA,CA,,
52263,"Old Hay, Kent",UK,,,
52267,KONGIGANAK     ,USA,AK,,
52270,Chicago,USA,IL,,
52291,HAILEY         ,USA,ID,,
52315,FORT LAUDERDALE,USA,FL,,
52340,COLD BAY       ,USA,AK,,
52350,PHILADELPHIA   ,USA,PA,,
52375,PALM SPRINGS   ,USA,CA,,
52383,GALAX          ,USA,VA,,
52403,ATLANTA        ,USA,GA,,
52430,CHICAGO        ,USA,IL,,
52452,HOUSTON        ,USA,TX,,
52455,ST PAUL        ,USA,MN,,
52457,LYMAN          ,USA,WY,,
52513,GRAND ISLE     ,USA,LA,,
52546,DENVER         ,USA,CO,,
52577,JAMAICA        ,USA,NY,,
52582,LYNCHBURG      ,USA,VA,,
52623,BATTLE MOUNTAIN,USA,NV,,
52663,ALBUQUERQUE    ,USA,NM,,
52665,Arlington,USA,VA,,
52671,RUSSIAN MISSION,USA,AK,,
52688,FLAGSTAFF      ,USA,AZ,,
52692,San Jose De Ocoa,DR,,,
52721,LOFSSJON       ,SW,,,
52741,San Francisco,USA,CA,,
52754,WILLIAMSPORT   ,USA,PA,,
52755,LARSEN BAY     ,USA,AK,,
52764,BOSTON         ,USA,MA,,
52767,NARITA,JA,,,
52806,ZURICH         ,SZ,,,
52875,TIPP CITY      ,USA,OH,,
52898,BOULDER        ,USA,CO,,
52899,TOPEKA         ,USA,KS,,
52922,SAN JOSE       ,CS,,,
52939,SARASOTA       ,USA,FL,,
52945,GADSDEN,USA,AL,,
52946,MADISON        ,USA,NC,,
53010,ST. THOMAS     ,,VI,,
53019,GRAND CANYON   ,USA,AZ,,
53048,Parana ,BR,,,
53061,CORONA         ,USA,CA,,
53062,KAMISHAK BAY   ,USA,AK,,
53122,Tarapoto,PE,,,
53172,COLUMBUS       ,USA,IN,,
53195,Newgrange,EI,,,
53210,SAN ANDROS     ,BF,,,
53263,NEWARK         ,USA,NJ,,
53269,British Virgin ,VG,,,
53286,QUINHAGAK      ,USA,AK,,
53288,FORT LAUDERDALE,USA,FL,,
53300,MORGANTON      ,USA,NC,,
53304,ASHFORD        ,USA,WA,,
53309,Greenland,GL,,,
53310,CRANE ISLAND   ,USA,WA,,
53312,MCCOOK         ,USA,NE,,
53329,ERIE           ,USA,PA,,
53350,MONUMENT VALLEY,USA,UT,,
53426,PARAMARIBO,NS,,,
53428,PORT ALSWORTH  ,USA,AK,,
53444,ST. BARTHELEMY ,WN,,,
53470,KEUTERVILLE    ,USA,ID,,
53487,INDIANAPOLIS   ,USA,IN,,
53490,KAMPALA,UG,,,
53505,WALKER CAY     ,BF,,,
53522,STUART         ,USA,FL,,
53526,MANSFIELD      ,USA,MO,,
53535,Schiphol,NL,,,
53578,JACKS CREEK    ,USA,TN,,
53613,"Tiers, Tasmania",AS,,,
53630,DETROIT        ,USA,MI,,
53641,PERRY SOUND    ,CA,,,
53650,Scottsbluff,USA,NE,,
53685,Chicago O'Hare,USA,IL,,
53695,SCHWENNIGEN,GE,,,
53699,WICHITA        ,USA,KS,,
53708,FUNTER BAY     ,USA,AK,,
53764,FORT LAUDERDALE,USA,FL,,
53804,Pontianak,ID,,,
53812,KODIAK         ,USA,AK,,
53852,Santa Elena ,VE,,,
53866,Cannes,FR,,,
53893,Old Buckenham,UK,,,
53918,KAKTOVIK       ,USA,AK,,
53928,TIMBALIER ISLE ,USA,LA,,
53930,Agana,USA,GU,,
53968,ALBION         ,USA,ID,,
53974,WESTMAN ISLES  ,IC,,,
53981,11MI. SO.OFTELL,USA,CO,,
53990,NOME           ,USA,AK,,
54002,OPA LOCKA      ,USA,FL,,
54027,SEATTLE        ,USA,WA,,
54041,BERNARD GLACIER,USA,AK,,
54045,Jakarta,ID,,,
54059,ARCTIC VILLAGE ,USA,AK,,
54071,Tlaxco,MX,,,
54085,TALKEETNA      ,USA,AK,,
54086,NIMITZ HILL,USA,GU,,
54131,MORRISVILLE    ,USA,NC,,
54151,TALKEETNA      ,USA,AK,,
54166,MARSH HARBOUR  ,BF,,,
54168,FRIDAY HARBOR  ,USA,WA,,
54188,LAS VEGAS      ,USA,NV,,
54236,LOUDON COUNTY  ,USA,VA,,
54240,Auckland,NZ,,,
54244,VENICE         ,USA,LA,,
54245,SANTA ANA      ,USA,CA,,
54247,GULF-OF-MEXICO ,,GM,,
54260,VALPARAISO     ,USA,IN,,
54294,ALTUS          ,USA,OK,,
54308,TOLEDO         ,USA,OH,,
54318,HESSEN,GE,,,
54329,KING SALMON    ,USA,AK,,
54332,EEK            ,USA,AK,,
54344,Sioux Falls,USA,SD,,
54382,OKEECHOBEE     ,USA,FL,,
54408,SALT LAKE CITY ,USA,UT,,
54419,LA TINTA       ,GT,,,
54434,KING SALMON    ,USA,AK,,
54448,AMARILLO       ,USA,TX,,
54464,LAS TERRENAS   ,DR,,,
54480,CHATTANOOGA    ,USA,TN,,
54482,WILLISTON,USA,VT,,
54502,MEMPHIS        ,USA,TN,,
54518,San Pedro Sula,HO,,,
54530,JOSEPH VILLAGE ,USA,AK,,
54566,BUFFALO        ,USA,NY,,
54573,SELMA          ,USA,CA,,
54574,ATMAUTLUAK     ,USA,AK,,
54584,GILLETTE       ,USA,WY,,
54586,"Pico, Duarte",DR,,,
54587,TELLURIDE      ,USA,CO,,
54590,BECKLEY        ,USA,WV,,
54595,COLORADO SPRING,USA,CO,,
54630,LOS GATOS      ,USA,CA,,
54647,Pacific Ocean,USA,,,
54648,Buena Vista,USA,CO,,
54674,Officer South,AS,,,
54679,FAIRBANKS      ,USA,AK,,
54685,Mariental,WA,,,
54697,FORT LAUDERDALE,USA,FL,,
54706,SOUTH PELTO #1 ,,GM,,
54720,VERMILLION 39  ,,GM,,
54724,Rio Branco,BR,,,
54725,KODIAK         ,USA,AK,,
54734,BLUFF          ,USA,UT,,
54760,Subic Bay,RP,,,
54764,KODIAK         ,USA,AK,,
54780,Gulkana,USA,AK,,
54802,SACRAMENTO     ,USA,CA,,
54814,Maracaibo,VE,,,
54827,Orleans,FR,,,
54836,COCA           ,EC,,,
54845,DEADHORSE      ,USA,AK,,
54866,PHILIPPINE ISLA,RP,,,
54874,UNIONVILLE     ,USA,PA,,
54892,MUNSON         ,USA,FL,,
54898,ST. PETERSBURG ,USA,FL,,
54911,CLIMAX         ,USA,CO,,
54916,DILLINGHAM     ,USA,AK,,
54992,Romulus,USA,MI,,
54998,PEACH SPRINGS  ,USA,AZ,,
55002,BETHEL         ,USA,AK,,
55010,TOPPING        ,USA,VA,,
55028,TAYLORVILLE    ,USA,IL,,
55061,NAPASKIAK      ,USA,AK,,
55103,RIVERSIDE      ,USA,CA,,
55104,Tajima,JA,,,
55117,EKWOK          ,USA,AK,,
55121,Kiskunlachaza,HU,,,
55139,SCHUYLER FALLS ,USA,NY,,
55194,Woodruff,USA,WI,,
55199,KOOSKIA        ,USA,ID,,
55223,BUCHAREST      ,RO,,,
55258,Oxfordshire,UK,,,
55298,Kabul,AF,FN,,
55319,Ligure Sea,IT,,,
55352,KAILUA-KONA    ,USA,HI,,
55392,ST JOHN ANTIGUA,AC,,,
55394,CARIBBEAN SEA  ,,CB,,
55426,MCKINLEY NAT'L.,USA,AK,,
55433,MERRILLVILLE   ,USA,IN,,
55480,INDIANAPOLIS   ,USA,IN,,
55488,KAHULUI        ,USA,HI,,
55499,BA,AR,,,
55501,BLANCHARD      ,USA,ID,,
55506,MONTAGUE ISLAND,USA,AK,,
55532,DEEP WATER CAY ,BF,,,
55548,ST. PETERSBURG ,USA,FL,,
55560,LAKE BERRYESSA ,USA,CA,,
55577,URBANA         ,USA,IL,,
55578,KENAI          ,USA,AK,,
55620,TWIN FALLS     ,USA,ID,,
55624,Tallinn,EN,,,
55627,MONUMENT VALLEY,USA,UT,,
55643,DETROIT        ,USA,MI,,
55684,TALKEETNA      ,USA,AK,,
55729,,DA,,,
55730,ATLANTA        ,USA,GA,,
55732,Leicester,UK,,,
55749,COBAN          ,GT,,,
55754,MONTEVIDEO  ,UY,,,
55756,KITOI BAY      ,USA,AK,,
55758,MIAMI          ,USA,FL,,
55766,Ottawa,CA,,,
55803,MADRAS,IN,,,
55858,San Jose,CS,,,
55917,San Diego,USA,CA,,
55940,EL PASO        ,USA,TX,,
55944,BETHEL         ,USA,AK,,
55952,CHICAGO        ,USA,IL,,
55974,Liquino,EC,,,
56016,LOS ANGELES    ,USA,CA,,
56037,REYNOSA        ,MX,,,
56078,Islamabad,PK,,,
56091,Lahr,GE,,,
56097,MESA           ,USA,AZ,,
56126,KENAI          ,USA,AK,,
56136,"Balaga, Sarawak",MY,,,
56137,MEMPHIS        ,USA,TN,,
56150,ANIAK          ,USA,AK,,
56151,MOPZAMBIQUE    ,MZ,,,
56166,CHARLESTON     ,USA,WV,,
56184,Ansa village,MO,,,
56191,BILLINGS       ,USA,MT,,
56199,ATLANTA        ,USA,GA,,
56206,STEPHENVILLE   ,EI,,,
56215,"La Cava Colonia Tovar, Venezuela",VE,,,
56226,HAMILTON       ,CA,,,
56248,KAUNAKAKAI     ,USA,HI,,
56277,ASPEN          ,USA,CO,,
56279,MARIETA        ,VE,,,
56311,Miami,USA,FL,,
56312,Lexington,USA,KY,,
56315,KANSAS CITY    ,USA,KS,,
56334,Roeselare,BE,,,
56367,CHICAGO        ,USA,IL,,
56381,SKWENTNA       ,USA,AK,,
56382,NOME           ,USA,AK,,
56397,FAIRBANKS      ,USA,AK,,
56401,PRESCOTT       ,USA,AZ,,
56426,Shimozishima ,JA,,,
56427,Prto. Echeverry,CO,,,
56445,Leguillac ,FR,UN,,
56467,Monterrey,MX,,,
56479,FT.LAUDERDALE  ,USA,FL,,
56501,BELLEVILLE     ,USA,MI,,
56516,CAMARINES PROVI,RP,,,
56546,FREEMONT,USA,MI,,
56549,FARMINGTON     ,USA,NM,,
56570,NASHVILLE      ,USA,TN,,
56575,CHESTERFIELD   ,USA,MO,,
56594,TAMPA          ,USA,FL,,
56617,ADJUNTAS       ,,PR,,
56639,HOONAH         ,USA,AK,,
56647,,AV,,,
56649,GOMA           ,UG,,,
56658,INDIANAPOLIS   ,USA,IN,,
56669,BOGOTA         ,CO,,,
56693,CIUDAD BOLIVAR ,VE,,,
56722,GALESBURG      ,USA,IL,,
56723,MIAMI          ,USA,FL,,
56726,NEAR SEWARD    ,USA,AK,,
56733,TELL CITY      ,USA,IN,,
56757,EAST CAMERON   ,,GM,,
56796,RENO           ,USA,NV,,
56807,Morelia,MX,,,
56830,HONOLULU       ,USA,HI,,
56865,PENSACOLA      ,USA,FL,,
56872,CALHOUN        ,USA,GA,,
56901,Malaga,SP,,,
56944,LIMA           ,PE,,,
56948,Chambery,FR,,,
56950,SURAT THANI    ,TH,,,
56976,FRANKLIN       ,USA,PA,,
56977,Aspen,USA,CO,,
57008,HAYDEN         ,USA,CO,,
57013,SEOUL          ,KS,,,
57017,"Sevenoaks, Kent",UK,,,
57020,GUATEMALA CITY ,GT,,,
57027,TALKEETNA      ,USA,AK,,
57037,Detroit,USA,MI,,
57056,Pachuca,MX,,,
57057,SKWENTA        ,USA,AK,,
57058,CHICKALOON     ,USA,AK,,
57074,MIDLAND        ,USA,TX,,
57095,Leeds,UK,,,
57112,MINNEAPOLIS    ,USA,MN,,
57123,Provo,USA,UT,,
57156,BIGGIN HILL,UK,,,
57160,Mt. Taranaki ,NZ,,,
57171,KASAAN         ,USA,AK,,
57176,Chanco,CI,,,
57230,NAIROBI,KE,,,
57287,MISSING        ,BF,,,
57311,Saint Marc,HA,,,
57316,BENTON         ,USA,AL,,
57409,Skane County,SW,,,
57414,LAKE CITY      ,USA,CO,,
57421,Leningradsky,RS,,,
57435,SANTA MARIA    ,PO,,,
57475,ACCRA,GH,,,
57497,HUARMEY        ,PE,,,
57509,San Luis Potosi,MX,,,
57511,HONOLULU       ,USA,HI,,
57516,Belleville,USA,IL,,
57557,RAND,SF,,,
57606,BOSTON         ,USA,MA,,
57612,"Guangdong Province, China",CH,,,
57628,ROSELAWN       ,USA,IN,,
57631,FAIRBANKS      ,USA,AK,,
57693,SAN QUINTIN    ,MX,,,
57710,MIWAULKEE      ,USA,WI,,
57720,VALDOSTA       ,USA,GA,,
57732,KALAUPAPA      ,USA,HI,,
57755,ROCHESTER      ,USA,MN,,
57774,WHITTIER       ,USA,AK,,
57776,ST. THOMAS     ,,VI,,
57788,BEVERLY        ,USA,MA,,
57828,BOISE          ,USA,ID,,
57835,Buenos Aires,AR,UN,,
57867,Ipil,RP,,,
57950,West Palm Beach,USA,FL,,
57956,TAHOE VALLEY   ,USA,CA,,
57997,SPRINGFIELD    ,USA,MO,,
58044,Daisen,JA,,,
58109,ATLANTIC OCEAN ,,AO,,
58170,PHILADELPHIA   ,USA,PA,,
58246,MONUMENT VALLEY,USA,UT,,
58247,GRAND JUNCTION ,USA,CO,,
58255,HOUSTON        ,USA,TX,,
58284,SALT LAKE CITY ,USA,UT,,
58288,ATHENS         ,USA,OH,,
58290,SCHUYLER       ,USA,NE,,
58311,LONE ROCK      ,USA,WI,,
58317,OXBOW          ,USA,OR,,
58322,PENSACOLA      ,USA,FL,,
58332,Chicago,USA,IL,,
58346,"Bulli Tops, Australia",AS,,,
58372,Fort du France,WN,,,
58377,DALLAS         ,USA,TX,,
58400,HOMER          ,USA,AK,,
58426,NEIHART        ,USA,MT,,
58447,Sandown,UK,,,
58449,LANAI          ,USA,HI,,
58467,DENVER         ,USA,CO,,
58471,ANCHORAGE      ,USA,AK,,
58489,CAIRO          ,EG,,,
58490,MCGRATH        ,USA,AK,,
58517,CORDOVA        ,USA,AK,,
58524,GIRDWOOD       ,USA,AK,,
58531,Kathmandu,NP,,,
58535,STUART         ,USA,FL,,
58590,KING SALMON    ,USA,AK,,
58636,SELAWIK        ,USA,AK,,
58641,KANSAS CITY    ,USA,MO,,
58652,NOME           ,USA,AK,,
58672,SAN ANTONIO    ,USA,TX,,
58684,SAN JUAN       ,,PR,,
58698,EL PASO,USA,TX,,
58727,AZORES         ,PO,,,
58741,COVINGTON      ,USA,KY,,
58745,RAWLINS        ,USA,WY,,
58753,STORY          ,USA,WY,,
58757,LINWOOD,UK,,,
58758,VAN NUYS,USA,CA,,
58777,CALGARY        ,CA,,,
58844,BLANDING       ,USA,UT,,
58854,ALAMOSA        ,USA,CO,,
58861,FT. WAYNE      ,USA,IN,,
58873,Jiquipilco,MX,,,
58888,NEAR TANANA    ,USA,AK,,
58918,Biggin Hill,UK,,,
58926,11NM EAST OF SI,USA,AK,,
58942,Gleiswile,GE,,,
58956,ATLANTIC OCEAN ,,AO,,
58995,TEXARKANA      ,USA,AR,,
59000,VERNAL         ,USA,UT,,
59002,Budaors,HU,,,
59009,Pointe a Pitre,GP,,,
59029,SHEEP MOUNTAIN ,USA,AK,,
59039,HIBBING        ,USA,MN,,
59041,DETROIT        ,USA,MI,,
59051,Wamena,ID,,,
59092,EASE OF LIMA   ,PE,,,
59093,COLD BAY       ,USA,AK,,
59095,CAPTINTERIA    ,USA,CA,,
59144,CAPE SABINE,USA,AK,,
59155,Prajuabkhirikha,TH,,,
59191,GUAYAQUIL      ,EC,,,
59238,KETCHIKAN      ,USA,AK,,
59275,CHOQUE         ,PE,,,
59278,Pastaza,EC,,,
59301,ATLANTIC OCEAN,,AO,,
59344,LOMPOC         ,USA,CA,,
59358,Weiz,AU,,,
59391,LOS ANGELES    ,USA,CA,,
59410,Boston,USA,MA,,
59418,Teresina Municipality,BR,,,
59419,PORT-AU-PRINCE ,HA,,,
59448,Manglaore,IN,,,
59476,Philadelphia,USA,PA,,
59477,PARIS          ,FR,,,
59501,Seron,SP,,,
59519,DFW AIRPORT    ,USA,TX,,
59523,STOCKHOLM      ,SW,,,
59533,Paris,FR,,,
59534,Phuket,TH,,,
59574,PROVIDENCE     ,USA,RI,,
59598,VENICE         ,USA,LA,,
59608,TAKOTNA        ,USA,AK,,
59639,Podnovye,RS,,,
59647,TWIN HILLS     ,USA,AK,,
59649,COVINGTON      ,USA,KY,,
59661,Tokyo,JA,,,
59696,BIRMINGHAM     ,USA,AL,,
59702,CHICAGO        ,USA,IL,,
59712,ALAJUELA,CS,,,
59734,DALLAS         ,USA,TX,,
59750,Lubango ,AO,,,
59758,Meinerzhagen ,GE,,,
59778,HUNTINGTON     ,USA,WV,,
59807,NAPLES         ,USA,FL,,
59819,SELAWIK        ,USA,AK,,
59829,KONA           ,USA,HI,,
59837,ROCHESTER      ,USA,NY,,
59863,ABILENE        ,USA,TX,,
59865,CHICAGO        ,USA,IL,,
59884,ATLANTA        ,USA,GA,,
59897,JANESVILLE     ,USA,WI,,
59939,Springfield,USA,VA,,
59972,CAJON          ,USA,CA,,
59978,"Sao Paulo,",BR,,,
59999,DETROIT        ,USA,MI,,
60015,PUERTO PLATA,DR,,,
60018,FORT MYERS     ,USA,FL,,
60022,SITKA          ,USA,AK,,
60028,MILES CITY     ,USA,MT,,
60054,BETHEL         ,USA,AK,,
60080,Samedan,SZ,,,
60095,DENVER         ,USA,CO,,
60143,BAYFIELD       ,USA,CO,,
60159,KATHMANDU,NP,,,
60160,JEFFERSONVILLE ,USA,GA,,
60164,ANDROS ISLAND  ,BF,,,
60185,HAYDEN         ,USA,CO,,
60232,KARLUK         ,USA,AK,,
60256,COOLIN         ,USA,ID,,
60258,FORT BRIDGER   ,USA,WY,,
60268,Llano Grande,MX,,,
60304,HUSLIA         ,USA,AK,,
60379,STUART         ,USA,FL,,
60384,PATNA,IN,,,
60385,CANTON         ,USA,OH,,
60395,KEY WEST       ,USA,FL,,
60405,DURANGO        ,USA,CO,,
60438,CAPE DOUGLAS   ,USA,AK,,
60447,DEERING        ,USA,AK,,
60505,CHEVAK         ,USA,AK,,
60513,Stockholm,SW,,,
60520,TYLER          ,USA,TX,,
60521,Pusan,KS,,,
60538,PORT ALSWORTH  ,USA,AK,,
60569,Denver,USA,CO,,
60605,NEWARK         ,USA,NJ,,
60622,Evora Aerodrome,PO,,,
60638,SAINT MARY'S   ,USA,AK,,
60646,EKUK           ,USA,AK,,
60681,ST. PAUL       ,USA,MN,,
60694,Taldykorgan,KZ,FN,,
60710,DENVER         ,USA,CO,,
60714,PRESCOTT       ,USA,AZ,,
60720,CHANTILLY      ,USA,VA,,
60743,KASITSNA BAY   ,USA,AK,,
60761,NEWTOWN        ,USA,OH,,
60766,AMBLER         ,USA,AK,,
60798,Dundo,AO,,,
60808,MASON CITY     ,USA,IA,,
60830,ENGLISH BAY    ,USA,AK,,
60861,E. ISLAND BLK15,,GM,,
60868,BOGOTA,CO,,,
60891,Beijing,CH,,,
60905,Melo,UY,,,
60956,CHARLESTON     ,USA,SC,,
60973,DENVER         ,USA,CO,,
60989,AUSTIN         ,USA,TX,,
60999,WALLFORF,GE,,,
61015,Clinge,NL,,,
61035,NORFOLK        ,USA,VA,,
61044,Panama City,PM,,,
61057,NORTH ITALY    ,IT,,,
61071,UNALASKA       ,USA,AK,,
61083,GOLDEN         ,USA,CO,,
61085,HALLE-OPPIN    ,GE,,,
61097,TALKEETNA      ,USA,AK,,
61115,CHICAGO        ,USA,IL,,
61123,CHICAGO        ,USA,IL,,
61145,BETHEL         ,USA,AK,,
61147,LAS VEGAS      ,USA,NM,,
61157,MILES CITY     ,USA,MT,,
61176,Tegucigalpa,HO,,,
61186,GEORGE INLET   ,USA,AK,,
61216,TYONEK         ,USA,AK,,
61227,Gulf of Mexico,MX,,,
61231,Minsk,BO,,,
61236,CARSON         ,USA,NM,,
61251,CONGO TOWN     ,CF,,,
61275,CHALKHILL      ,USA,PA,,
61280,CLOVIS         ,USA,NM,,
61307,Tokyo,JA,,,
61313,S MARSH IS 7   ,,GM,,
61314,Achmad Yani,ID,,,
61326,SAN JUAN       ,,PR,,
61348,Lillo,SP,UN,,
61378,Dajabon,DR,,,
61443,AUGUSTA        ,USA,GA,,
61460,KENAI          ,USA,AK,,
61463,WEST COLUMBIA  ,USA,SC,,
61486,MIAMI          ,USA,FL,,
61561,,NL,,,
61564,ANCHORAGE      ,USA,AK,,
61584,SALMON         ,USA,ID,,
61606,Makassar,ID,,,
61616,SAN SALVADOR,ES,,,
61652,JAMESTOWN      ,USA,ND,,
61664,MCGRATH        ,USA,AK,,
61683,CHIMORE,BL,,,
61733,BETHEL         ,USA,AK,,
61734,Dulles,USA,VA,,
61737,CHARLESTON     ,USA,SC,,
61739,Buenos Aires,AR,,,
61751,Karachi,PK,,,
61760,Phitippeburg,GE,,,
61766,PIERRE         ,USA,SD,,
61789,LITTLE WHALE   ,BF,,,
61832,GULF OF MEXICO ,,GM,,
61861,QUITO          ,EC,,,
61865,COLUMBIA       ,USA,SC,,
61883,HIGH ISLAND 116,,GM,,
61894,38 SE BARROW   ,USA,AK,,
61905,SAN ANTONIO    ,USA,TX,,
61918,COPIAPO,CI,,,
61920,Sarawak,MY,,,
61939,LAS VEGAS      ,USA,NV,,
61940,ANDOAS         ,PE,,,
61945,SAN ANGELO     ,USA,TX,,
61957,KIANA          ,USA,AK,,
61967,LITTLE ROCK,USA,AR,,
61980,MEADVIEW       ,USA,AZ,,
61994,GARDEN VALLEY,USA,ID,,
62023,MORES ISLAND   ,BF,,,
62050,NEW YORK       ,USA,NY,,
62064,London,UK,,,
62072,Vertaizon,FR,,,
62091,SANTA BARBARA  ,USA,CA,,
62114,SPOKANE        ,USA,WA,,
62124,Culiacan,MX,,,
62129,KAHALUI        ,USA,HI,,
62132,CANTWELL       ,USA,AK,,
62171,LEWISTON       ,USA,ID,,
62173,HITE           ,USA,UT,,
62177,Napier,NZ,,,
62179,Miyazaki Airpor,JA,,,
62183,EUGENE ISL.BLK ,,GM,,
62184,Alava,SP,,,
62201,JASPER         ,USA,AL,,
62221,Taipei,TW,,,
62223,WRANGELL       ,USA,AK,,
62229,WENATCHEE      ,USA,WA,,
62270,WASHINGTON     ,USA,DC,,
62286,Boston,USA,MA,,
62299,Urmia,IR,,,
62314,WHEELING       ,USA,IL,,
62320,DILLINGHAM     ,USA,AK,,
62339,"Strahan, Tasmania",AS,,,
62370,FLORENCE       ,USA,SC,,
62381,JEREMIE        ,HA,,,
62382,MEMPHIS        ,USA,TN,,
62410,ANGOLA/DUNDO   ,AO,,,
62435,MADISON        ,USA,WI,,
62448,Kota Kinabalu,MY,,,
62476,SILER CITY     ,USA,NC,,
62552,KARLUK         ,USA,AK,,
62559,"Bella Bella, BC",CA,,,
62566,SAN JUAN       ,,PR,,
62587,SEATTLE        ,USA,WA,,
62615,LAWRENCE       ,USA,MA,,
62642,DENVER         ,USA,CO,,
62662,MANILA,RP,,,
62676,KANSAS CITY    ,USA,KS,,
62699,VERO BEACH     ,USA,FL,,
62740,SAN JUAN       ,,PR,,
62743,Pista El Limon,EC,,,
62748,SKWENTNA       ,USA,AK,,
62753,LEXINGTON      ,USA,KY,,
62760,Salzburg,AU,,,
62775,OSHKOSH        ,USA,WI,,
62798,KETCHIKAN      ,USA,AK,,
62829,HILO           ,USA,HI,,
62865,Sanikiluaq,CA,,,
62876,PITTSBURGH     ,USA,PA,,
62888,DENVER         ,USA,CO,,
62910,Taupo,NZ,,,
62937,SEWARD         ,USA,AK,,
62955,KOTZEBUE       ,USA,AK,,
62972,THORNTON       ,USA,TX,,
62978,SAN ANTONIO    ,USA,TX,,
